Disaster-Type,Year,Total-Deaths
Drought,1900,1261000
Drought,1903,
Drought,1906,
Drought,1910,85000
Drought,1919,
Drought,1920,524000
Drought,1921,1200000
Drought,1928,3000000
Drought,1931,
Drought,1933,
Drought,1940,20000
Drought,1942,1500000
Drought,1943,1900000
Drought,1946,30000
Drought,1947,
Drought,1960,
Drought,1961,
Drought,1963,
Drought,1964,50
Drought,1965,1502000
Drought,1966,8000
Drought,1967,600
Drought,1968,
Drought,1969,
Drought,1970,
Drought,1971,
Drought,1972,
Drought,1973,100000
Drought,1974,19000
Drought,1975,
Drought,1976,
Drought,1977,
Drought,1978,63
Drought,1979,18
Drought,1980,
Drought,1981,103000
Drought,1982,280
Drought,1983,450520
Drought,1984,230
Drought,1985,
Drought,1986,84
Drought,1987,1317
Drought,1988,1600
Drought,1989,237
Drought,1990,
Drought,1991,2000
Drought,1992,
Drought,1993,
Drought,1994,
Drought,1995,
Drought,1996,
Drought,1997,732
Drought,1998,20
Drought,1999,361
Drought,2000,80
Drought,2001,99
Drought,2002,588
Drought,2003,9
Drought,2004,80
Drought,2005,149
Drought,2006,134
Drought,2007,
Drought,2008,8
Drought,2009,
Drought,2010,20000
Drought,2011,
Drought,2012,
Drought,2013,
Drought,2014,
Drought,2015,35
Drought,2016,
Drought,2017,
Drought,2018,
Earthquake,1901,18
Earthquake,1902,6747
Earthquake,1903,6000
Earthquake,1904,
Earthquake,1905,22500
Earthquake,1906,31966
Earthquake,1907,25641
Earthquake,1908,75000
Earthquake,1909,5146
Earthquake,1910,1762
Earthquake,1912,923
Earthquake,1913,150
Earthquake,1914,149
Earthquake,1915,29986
Earthquake,1916,
Earthquake,1917,19450
Earthquake,1918,10379
Earthquake,1920,180000
Earthquake,1921,
Earthquake,1922,1100
Earthquake,1923,152362
Earthquake,1924,767
Earthquake,1925,5013
Earthquake,1926,12
Earthquake,1927,206142
Earthquake,1928,635
Earthquake,1929,3317
Earthquake,1930,5081
Earthquake,1931,1537
Earthquake,1932,70006
Earthquake,1933,16180
Earthquake,1934,15496
Earthquake,1935,66110
Earthquake,1936,26
Earthquake,1938,166
Earthquake,1939,63094
Earthquake,1940,1275
Earthquake,1941,189
Earthquake,1942,7235
Earthquake,1943,4332
Earthquake,1944,14984
Earthquake,1945,5961
Earthquake,1946,5153
Earthquake,1947,633
Earthquake,1948,115618
Earthquake,1949,6486
Earthquake,1950,1833
Earthquake,1951,1554
Earthquake,1952,2432
Earthquake,1953,2717
Earthquake,1954,3344
Earthquake,1955,959
Earthquake,1956,763
Earthquake,1957,6993
Earthquake,1958,227
Earthquake,1959,103
Earthquake,1960,19395
Earthquake,1961,60
Earthquake,1962,12209
Earthquake,1963,1700
Earthquake,1964,335
Earthquake,1965,683
Earthquake,1966,2752
Earthquake,1967,1013
Earthquake,1968,10858
Earthquake,1969,3353
Earthquake,1970,78599
Earthquake,1971,1107
Earthquake,1972,15170
Earthquake,1973,552
Earthquake,1974,24808
Earthquake,1975,12632
Earthquake,1976,276994
Earthquake,1977,3098
Earthquake,1978,25162
Earthquake,1979,2100
Earthquake,1980,7730
Earthquake,1981,4206
Earthquake,1982,2120
Earthquake,1983,2148
Earthquake,1984,57
Earthquake,1985,9853
Earthquake,1986,1181
Earthquake,1987,5160
Earthquake,1988,27049
Earthquake,1989,650
Earthquake,1990,42845
Earthquake,1991,2454
Earthquake,1992,4033
Earthquake,1993,10088
Earthquake,1994,1242
Earthquake,1995,7739
Earthquake,1996,576
Earthquake,1997,3159
Earthquake,1998,9573
Earthquake,1999,21869
Earthquake,2000,217
Earthquake,2001,21348
Earthquake,2002,1639
Earthquake,2003,29617
Earthquake,2004,227290
Earthquake,2005,76241
Earthquake,2006,6692
Earthquake,2007,780
Earthquake,2008,87918
Earthquake,2009,1893
Earthquake,2010,226733
Earthquake,2011,20946
Earthquake,2012,711
Earthquake,2013,1120
Earthquake,2014,774
Earthquake,2015,9550
Earthquake,2016,1311
Earthquake,2017,1012
Earthquake,2018,4311
Extreme temperature ,1936,1693
Extreme temperature ,1951,69
Extreme temperature ,1953,669
Extreme temperature ,1955,107
Extreme temperature ,1958,651
Extreme temperature ,1961,400
Extreme temperature ,1962,50
Extreme temperature ,1963,162
Extreme temperature ,1965,100
Extreme temperature ,1966,262
Extreme temperature ,1968,153
Extreme temperature ,1971,400
Extreme temperature ,1972,110
Extreme temperature ,1973,283
Extreme temperature ,1975,140
Extreme temperature ,1977,
Extreme temperature ,1978,150
Extreme temperature ,1979,470
Extreme temperature ,1980,1389
Extreme temperature ,1981,300
Extreme temperature ,1982,400
Extreme temperature ,1983,205
Extreme temperature ,1984,290
Extreme temperature ,1985,456
Extreme temperature ,1986,50
Extreme temperature ,1987,1220
Extreme temperature ,1988,644
Extreme temperature ,1989,381
Extreme temperature ,1990,979
Extreme temperature ,1991,835
Extreme temperature ,1992,388
Extreme temperature ,1993,106
Extreme temperature ,1994,341
Extreme temperature ,1995,1730
Extreme temperature ,1996,300
Extreme temperature ,1997,604
Extreme temperature ,1998,3269
Extreme temperature ,1999,771
Extreme temperature ,2000,941
Extreme temperature ,2001,1787
Extreme temperature ,2002,3369
Extreme temperature ,2003,74698
Extreme temperature ,2004,255
Extreme temperature ,2005,1550
Extreme temperature ,2006,4826
